customers
customernumber;customername;contactlastname;contactfirstname;phone;addressline1;addressline2;city;state;postalcode;countrycode;employeenumber;creditlimit
247;Messner Shopping Network;Messner;Renate ;069-0555984;Magazinweg 7;undef;Frankfurt;undef;60528;DE;undef;0.0
249;Amica Models & Co.;Accorti;Paolo ;011-4988555;Via Monte Bianco 34;undef;Torino;undef;10100;IT;1401;113000.0
250;Lyon Souveniers;Da Silva;Daniel;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;undef;Paris;undef;75508;FR;1337;68100.0
256;Auto Associés & Cie.;Tonini;Daniel ;30.59.8555;67, avenue de l'Europe;undef;Versailles;undef;78000;FR;1370;77900.0
259;Toms Spezialitäten, Ltd;Pfalzheim;Henriette ;0221-5554327;Mehrheimerstr. 369;undef;Köln;undef;50739;DE;1504;120400.0
260;Royal Canadian Collectables, Ltd.;Lincoln;Elizabeth ;(604) 555-4555;23 Tsawassen Blvd.;undef;Tsawassen;BC;T2F 8M4;CA;1323;89600.0
273;Franken Gifts, Co;Franken;Peter ;089-0877555;Berliner Platz 43;undef;München;undef;80805;DE;undef;0.0
276;Anna's Decorations, Ltd;O'Hara;Anna;02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;2060;AU;1611;107800.0
278;Rovelli Gifts;Rovelli;Giovanni ;035-640555;Via Ludovico il Moro 22;undef;Bergamo;undef;24100;IT;1401;119600.0
282;Souveniers And Things Co.;Huxley;Adrian;+61 2 9495 8555;Monitor Money Building;815 Pacific Hwy;Chatswood;NSW;2067;AU;1611;93300.0
286;Marta's Replicas Co.;Hernandez;Marta;6175558555;39323 Spinnaker Dr.;undef;Cambridge;MA;51247;US;1216;123700.0
293;BG&E Collectables;Harrison;Ed;+41 26 425 50 01;Rte des Arsenaux 41 ;undef;Fribourg;undef;1700;CH;undef;0.0
298;Vida Sport, Ltd;Holz;Mihael;0897-034555;Grenzacherweg 237;undef;Genève;undef;1203;CH;1702;141300.0
299;Norway Gifts By Mail, Co.;Klaeboe;Jan;+47 2212 1555;Drammensveien 126A;PB 211 Sentrum;Oslo;undef;N 0106;NO;1504;95100.0
303;Schuyler Imports;Schuyler;Bradley;+31 20 491 9555;Kingsfordweg 151;undef;Amsterdam;undef;1043 GR;NE;undef;0.0
307;Der Hund Imports;Andersen;Mel;030-0074555;Obere Str. 57;undef;Berlin;undef;12209;DE;undef;0.0
311;Oulu Toy Supplies, Inc.;Koskitalo;Pirkko;981-443655;Torikatu 38;undef;Oulu;undef;90110;FI;1501;90500.0
314;Petit Auto;Dewey;Catherine ;(02) 5554 67;Rue Joseph-Bens 532;undef;Bruxelles;undef;B-1180;BE;1401;79900.0
319;Mini Classics;Frick;Steve;9145554562;3758 North Pendale Street;undef;White Plains;NY;24067;US;1323;102700.0
320;Mini Creations Ltd.;Huang;Wing;5085559555;4575 Hillside Dr.;undef;New Bedford;MA;50553;US;1188;94500.0
321;Corporate Gift Ideas Co.;Brown;Julie;6505551386;7734 Strong St.;undef;San Francisco;CA;94217;US;1165;105000.0
323;Down Under Souveniers, Inc;Graham;Mike;+64 9 312 5555;162-164 Grafton Road;Level 2;Auckland  ;undef;undef;NZ;1612;88000.0
324;Stylish Desk Decors, Co.;Brown;Ann ;(171) 555-0297;35 King George;undef;London;undef;WX3 6FW;GB;1501;77000.0
328;Tekni Collectables Inc.;Brown;William;2015559350;7476 Moss Rd.;undef;Newark;NJ;94019;US;1323;43000.0
333;Australian Gift Network, Co;Calaghan;Ben;61-7-3844-6555;31 Duncan St. West End;undef;South Brisbane;Queensland;4101;AU;1611;51600.0
334;Suominen Souveniers;Suominen;Kalle;+358 9 8045 555;Software Engineering Center;SEC Oy;Espoo;undef;FIN-02271;FI;1501;98800.0
335;Cramer Spezialitäten, Ltd;Cramer;Philip ;0555-09555;Maubelstr. 90;undef;Brandenburg;undef;14776;DE;undef;0.0
339;Classic Gift Ideas, Inc;Cervantes;Francisca;2155554695;782 First Street;undef;Philadelphia;PA;71270;US;1188;81100.0
344;CAF Imports;Fernandez;Jesus;+34 913 728 555;Merchants House;27-30 Merchant's Quay;Madrid;undef;28023;ES;1702;59600.0
347;Men 'R' US Retailers, Ltd.;Chandler;Brian;2155554369;6047 Douglas Av.;undef;Los Angeles;CA;91003;US;1166;57700.0
348;Asian Treasures, Inc.;McKenna;Patricia ;2967 555;8 Johnstown Road;undef;Cork;Co. Cork;undef;IE;undef;0.0
350;Marseille Mini Autos;Lebihan;Laurence ;91.24.4555;12, rue des Bouchers;undef;Marseille;undef;13008;FR;1337;65000.0
353;Reims Collectables;Henriot;Paul ;26.47.1555;59 rue de l'Abbaye;undef;Reims;undef;51100;FR;1337;81100.0
356;SAR Distributors, Co;Kuger;Armand;+27 21 550 3555;1250 Pretorius Street;undef;Hatfield;Pretoria;0028;ZA;undef;0.0
357;GiftsForHim.com;MacKinlay;Wales;64-9-3763555;199 Great North Road;undef;Auckland;undef;undef;NZ;1612;77700.0
361;Kommission Auto;Josephs;Karin;0251-555259;Luisenstr. 48;undef;Münster;undef;44087;DE;undef;0.0
362;Gifts4AllAges.com;Yoshido;Juri;6175559555;8616 Spinnaker Dr.;undef;Boston;MA;51003;US;1216;41900.0
363;Online Diecast Creations Co.;Young;Dorothy;6035558647;2304 Long Airport Avenue;undef;Nashua;NH;62005;US;1216;114200.0
369;Lisboa Souveniers, Inc;Rodriguez;Lino ;(1) 354-2555;Jardim das rosas n. 32;undef;Lisboa;undef;1675;PT;undef;0.0
376;Precious Collectables;Urs;Braun;0452-076555;Hauptstr. 29;undef;Bern;undef;3012;CH;1702;0.0
379;Collectables For Less Inc.;Nelson;Allen;6175558555;7825 Douglas Av.;undef;Brickhaven;MA;58339;US;1188;70700.0
381;Royale Belge;Cartrain;Pascale ;(071) 23 67 2555;Boulevard Tirou, 255;undef;Charleroi;undef;B-6000;BE;1401;23500.0
382;Salzburg Collectables;Pipps;Georg ;6562-9555;Geislweg 14;undef;Salzburg;undef;5020;AT;1401;71700.0
385;Cruz & Sons Co.;Cruz;Arnold;+63 2 555 3587;15 McCallum Street;NatWest Center #13-03;Makati City;undef;1227 MM;PH;1621;81500.0
386;L'ordine Souveniers;Moroni;Maurizio ;0522-556555;Strada Provinciale 124;undef;Reggio Emilia;undef;42100;IT;1401;121400.0
398;Tokyo Collectables, Ltd;Shimamura;Akiko;+81 3 3584 0555;2-2-8 Roppongi;undef;Minato-ku;Tokyo;106-0032;JP;1621;94400.0
406;Auto Canal+ Petit;Perrier;Dominique;(1) 47.55.6555;25, rue Lauriston;undef;Paris;undef;75016;FR;1337;95000.0
409;Stuttgart Collectable Exchange;Müller;Rita ;0711-555361;Adenauerallee 900;undef;Stuttgart;undef;70563;DE;undef;0.0
412;Extreme Desk Decorations, Ltd;McRoy;Sarah;04 499 9555;101 Lambton Quay;Level 11;Wellington;undef;undef;NZ;1612;86800.0
415;Bavarian Collectables Imports, Co.;Donnermeyer;Michael; +49 89 61 08 9555;Hansastr. 15;undef;Munich;undef;80686;DE;1504;77000.0
424;Classic Legends Inc.;Hernandez;Maria;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;US;1286;67500.0
443;Feuer Online Stores, Inc;Feuer;Alexander ;0342-555176;Heerstr. 22;undef;Leipzig;undef;04179;DE;undef;0.0
447;Gift Ideas Corp.;Lewis;Dan;2035554407;2440 Pompton St.;undef;Glendale;CT;97561;US;1323;49700.0
448;Scandinavian Gift Ideas;Larsson;Martha;0695-34 6555;Åkergatan 24;undef;Bräcke;undef;S-844 67;SE;1504;116400.0
450;The Sharp Gifts Warehouse;Frick;Sue;4085553659;3086 Ingle Ln.;undef;San Jose;CA;94217;US;1165;77600.0
452;Mini Auto Werke;Mendel;Roland ;7675-3555;Kirchgasse 6;undef;Graz;undef;8010;AT;1401;45300.0
455;Super Scale Inc.;Murphy;Leslie;2035559545;567 North Pendale Street;undef;New Haven;CT;97823;US;1286;95400.0
456;Microscale Inc.;Choi;Yu;2125551957;5290 North Pendale Street;Suite 200;NYC;NY;10022;US;1286;39800.0
458;Corrida Auto Replicas, Ltd;Sommer;Martín ;(91) 555 22 82;C/ Araquil, 67;undef;Madrid;undef;28023;ES;1702;104600.0
459;Warburg Exchange;Ottlieb;Sven ;0241-039123;Walserweg 21;undef;Aachen;undef;52066;DE;undef;0.0
462;FunGiftIdeas.com;Benitez;Violeta;5085552555;1785 First Street;undef;New Bedford;MA;50553;US;1216;85800.0
465;Anton Designs, Ltd.;Anton;Carmen;+34 913 728555;c/ Gobelas, 19-1 Urb. La Florida;undef;Madrid;undef;28023;ES;undef;0.0
471;Australian Collectables, Ltd;Clenahan;Sean;61-9-3844-6555;7 Allen Street;undef;Glen Waverly;Victoria;3150;AU;1611;60300.0
473;Frau da Collezione;Ricotti;Franco;+39 022515555;20093 Cologno Monzese;Alessandro Volta 16;Milan;undef;undef;IT;1401;34800.0
475;West Coast Collectables Co.;Thompson;Steve;3105553722;3675 Furth Circle;undef;Burbank;CA;94019;US;1166;55400.0
477;Mit Vergnügen & Co.;Moos;Hanna ;0621-08555;Forsterstr. 57;undef;Mannheim;undef;68306;DE;undef;0.0
480;Kremlin Collectables, Co.;Semenov;Alexander ;+7 812 293 0521;2 Pobedy Square;undef;Saint Petersburg;undef;196143;RU;undef;0.0
481;Raanan Stores, Inc;Altagar,G M;Raanan;+ 972 9 959 8555;3 Hagalim Blv.;undef;Herzlia;undef;47625;IL;undef;0.0
484;Iberia Gift Imports, Corp.;Roel;José Pedro ;(95) 555 82 82;C/ Romero, 33;undef;Sevilla;undef;41101;ES;1702;65700.0
486;Motor Mint Distributors Inc.;Salazar;Rosa;2155559857;11328 Douglas Av.;undef;Philadelphia;PA;71270;US;1323;72600.0
487;Signal Collectibles Ltd.;Taylor;Sue;4155554312;2793 Furth Circle;undef;Brisbane;CA;94217;US;1165;60300.0
489;Double Decker Gift Stores, Ltd;Smith;Thomas ;(171) 555-7555;120 Hanover Sq.;undef;London;undef;WA1 1DP;GB;1501;43300.0
495;Diecast Collectables;Franco;Valarie;6175552555;6251 Ingle Ln.;undef;Boston;MA;51003;US;1188;85100.0
496;Kelly's Gift Shop;Snowden;Tony;+64 9 5555500;Arenales 1938 3'A';undef;Auckland  ;undef;undef;NZ;1612;110000.0
